Value	Temperatur	Moisture	Landcover	Landforms	Climate_Re	Red	Green	Blue	W_Ecosystm	color
1	Polar	Moist	Sparsely or Non vegetated	Plains	Polar Moist	223	202	154	Polar Moist Sparsely or Non vegetated on Plains	#DFCA9A
2	Polar	Moist	Snow and Ice	Plains	Polar Moist	255	255	255	Polar Moist Snow and Ice on Plains	#FFFFFF
3	Polar	Dry	Snow and Ice	Mountains	Polar Dry	255	255	255	Polar Dry Snow and Ice on Mountains	#FFFFFF
4	Polar	Dry	Sparsely or Non vegetated	Mountains	Polar Dry	176	172	164	Polar Dry Sparsely or Non vegetated on Mountains	#B0ACA4
5	Polar	Moist	Sparsely or Non vegetated	Mountains	Polar Moist	156	150	138	Polar Moist Sparsely or Non vegetated on Mountains	#9C968A
6	Polar	Moist	Snow and Ice	Mountains	Polar Moist	255	255	255	Polar Moist Snow and Ice on Mountains	#FFFFFF
7	Polar	Dry	Sparsely or Non vegetated	Tablelands	Polar Dry	137	155	208	Polar Dry Sparsely or Non vegetated on Tablelands	#899BD0
8	Polar	Dry	Snow and Ice	Tablelands	Polar Dry	255	255	255	Polar Dry Snow and Ice on Tablelands	#FFFFFF
9	Polar	Dry	Snow and Ice	Plains	Polar Dry	255	255	255	Polar Dry Snow and Ice on Plains	#FFFFFF
10	Polar	Moist	Sparsely or Non vegetated	Tablelands	Polar Moist	111	133	202	Polar Moist Sparsely or Non vegetated on Tablelands	#6F85CA
11	Polar	Moist	Snow and Ice	Tablelands	Polar Moist	255	255	255	Polar Moist Snow and Ice on Tablelands	#FFFFFF
12	Polar	Dry	Sparsely or Non vegetated	Hills	Polar Dry	166	159	115	Polar Dry Sparsely or Non vegetated on Hills	#A69F73
13	Polar	Dry	Snow and Ice	Hills	Polar Dry	255	255	255	Polar Dry Snow and Ice on Hills	#FFFFFF
14	Polar	Dry	Sparsely or Non vegetated	Plains	Polar Dry	232	214	173	Polar Dry Sparsely or Non vegetated on Plains	#E8D6AD
15	Polar	Moist	Snow and Ice	Hills	Polar Moist	255	255	255	Polar Moist Snow and Ice on Hills	#FFFFFF
16	Polar	Moist	Sparsely or Non vegetated	Hills	Polar Moist	146	138	86	Polar Moist Sparsely or Non vegetated on Hills	#928A56
17	Polar	Dry	Grassland	Mountains	Polar Dry	203	184	154	Polar Dry Grassland on Mountains	#CBB89A
18	Polar	Moist	Grassland	Mountains	Polar Moist	191	167	132	Polar Moist Grassland on Mountains	#BFA784
19	Polar	Moist	Shrubland	Plains	Polar Moist	186	175	126	Polar Moist Shrubland on Plains	#BAAF7E
20	Polar	Moist	Shrubland	Hills	Polar Moist	165	139	51	Polar Moist Shrubland on Hills	#A58B33
21	Polar	Moist	Grassland	Hills	Polar Moist	179	172	82	Polar Moist Grassland on Hills	#B3AC52
22	Polar	Moist	Grassland	Plains	Polar Moist	201	197	167	Polar Moist Grassland on Plains	#C9C5A7
23	Polar	Dry	Grassland	Hills	Polar Dry	195	187	112	Polar Dry Grassland on Hills	#C3BB70
24	Polar	Moist	Shrubland	Tablelands	Polar Moist	102	110	136	Polar Moist Shrubland on Tablelands	#666E88
25	Polar	Moist	Shrubland	Mountains	Polar Moist	142	67	20	Polar Moist Shrubland on Mountains	#8E4314
26	Polar	Moist	Grassland	Tablelands	Polar Moist	72	82	120	Polar Moist Grassland on Tablelands	#485278
27	Polar	Moist	Forest	Plains	Polar Moist	237	237	159	Polar Moist Forest on Plains	#EDED9F
28	Polar	Moist	Forest	Hills	Polar Moist	141	149	103	Polar Moist Forest on Hills	#8D9567
29	Polar	Moist	Forest	Mountains	Polar Moist	107	103	74	Polar Moist Forest on Mountains	#6B674A
30	Polar	Moist	Forest	Tablelands	Polar Moist	128	110	218	Polar Moist Forest on Tablelands	#806EDA
31	Polar	Dry	Grassland	Plains	Polar Dry	214	208	186	Polar Dry Grassland on Plains	#D6D0BA
32	Polar	Dry	Shrubland	Hills	Polar Dry	200	191	150	Polar Dry Shrubland on Hills	#C8BF96
33	Polar	Moist	Settlement	Mountains	Polar Moist	117	102	100	Polar Moist Settlement on Mountains	#756664
34	Polar	Dry	Shrubland	Plains	Polar Dry	201	193	151	Polar Dry Shrubland on Plains	#C9C197
35	Polar	Dry	Shrubland	Tablelands	Polar Dry	129	136	156	Polar Dry Shrubland on Tablelands	#81889C
36	Polar	Dry	Forest	Plains	Polar Dry	242	241	173	Polar Dry Forest on Plains	#F2F1AD
37	Polar	Moist	Cropland	Hills	Polar Moist	203	205	130	Polar Moist Cropland on Hills	#CBCD82
38	Polar	Dry	Grassland	Tablelands	Polar Dry	102	111	148	Polar Dry Grassland on Tablelands	#666F94
39	Polar	Moist	Cropland	Mountains	Polar Moist	166	133	68	Polar Moist Cropland on Mountains	#A68544
40	Polar	Moist	Cropland	Plains	Polar Moist	200	200	157	Polar Moist Cropland on Plains	#C8C89D
41	Polar	Dry	Shrubland	Mountains	Polar Dry	165	99	53	Polar Dry Shrubland on Mountains	#A56335
42	Polar	Moist	Cropland	Tablelands	Polar Moist	124	131	206	Polar Moist Cropland on Tablelands	#7C83CE
43	Polar	Dry	Forest	Hills	Polar Dry	175	180	131	Polar Dry Forest on Hills	#AFB483
44	Polar	Dry	Forest	Tablelands	Polar Dry	149	136	221	Polar Dry Forest on Tablelands	#9588DD
45	Boreal	Moist	Sparsely or Non vegetated	Plains	Boreal Moist	9	57	57	Boreal Moist Sparsely or Non vegetated on Plains	#093939
46	Boreal	Moist	Grassland	Plains	Boreal Moist	45	96	95	Boreal Moist Grassland on Plains	#2D605F
47	Boreal	Moist	Sparsely or Non vegetated	Hills	Boreal Moist	46	108	107	Boreal Moist Sparsely or Non vegetated on Hills	#2E6C6B
48	Boreal	Moist	Grassland	Hills	Boreal Moist	16	81	68	Boreal Moist Grassland on Hills	#105144
49	Boreal	Moist	Shrubland	Hills	Boreal Moist	28	70	22	Boreal Moist Shrubland on Hills	#1C4616
50	Boreal	Moist	Forest	Hills	Boreal Moist	0	93	49	Boreal Moist Forest on Hills	#005D31
51	Boreal	Moist	Sparsely or Non vegetated	Mountains	Boreal Moist	28	131	159	Boreal Moist Sparsely or Non vegetated on Mountains	#1C839F
52	Boreal	Moist	Shrubland	Plains	Boreal Moist	35	81	70	Boreal Moist Shrubland on Plains	#235146
53	Boreal	Moist	Forest	Plains	Boreal Moist	0	70	4	Boreal Moist Forest on Plains	#004604
54	Boreal	Moist	Shrubland	Mountains	Boreal Moist	1	105	0	Boreal Moist Shrubland on Mountains	#016900
55	Boreal	Moist	Forest	Mountains	Boreal Moist	6	92	79	Boreal Moist Forest on Mountains	#065C4F
56	Boreal	Moist	Grassland	Mountains	Boreal Moist	1	107	0	Boreal Moist Grassland on Mountains	#016B00
57	Boreal	Moist	Sparsely or Non vegetated	Tablelands	Boreal Moist	110	117	165	Boreal Moist Sparsely or Non vegetated on Tablelands	#6E75A5
58	Boreal	Moist	Shrubland	Tablelands	Boreal Moist	82	70	227	Boreal Moist Shrubland on Tablelands	#5246E3
59	Boreal	Moist	Grassland	Tablelands	Boreal Moist	33	48	114	Boreal Moist Grassland on Tablelands	#213072
60	Boreal	Moist	Cropland	Hills	Boreal Moist	46	149	121	Boreal Moist Cropland on Hills	#2E9579
61	Polar	Dry	Cropland	Plains	Polar Dry	214	211	176	Polar Dry Cropland on Plains	#D6D3B0
62	Boreal	Moist	Cropland	Plains	Boreal Moist	38	81	93	Boreal Moist Cropland on Plains	#26515D
63	Boreal	Moist	Forest	Tablelands	Boreal Moist	45	59	118	Boreal Moist Forest on Tablelands	#2D3B76
64	Polar	Moist	Settlement	Plains	Polar Moist	209	179	165	Polar Moist Settlement on Plains	#D1B3A5
65	Polar	Dry	Forest	Mountains	Polar Dry	133	127	98	Polar Dry Forest on Mountains	#857F62
66	Boreal	Dry	Sparsely or Non vegetated	Plains	Boreal Dry	41	91	91	Boreal Dry Sparsely or Non vegetated on Plains	#295B5B
67	Boreal	Moist	Cropland	Mountains	Boreal Moist	51	103	54	Boreal Moist Cropland on Mountains	#336736
68	Boreal	Dry	Forest	Plains	Boreal Dry	12	102	33	Boreal Dry Forest on Plains	#0C6621
69	Boreal	Dry	Shrubland	Plains	Boreal Dry	70	111	100	Boreal Dry Shrubland on Plains	#466F64
70	Boreal	Dry	Sparsely or Non vegetated	Hills	Boreal Dry	79	135	133	Boreal Dry Sparsely or Non vegetated on Hills	#4F8785
71	Boreal	Dry	Shrubland	Hills	Boreal Dry	61	100	56	Boreal Dry Shrubland on Hills	#3D6438
72	Boreal	Dry	Forest	Hills	Boreal Dry	25	122	83	Boreal Dry Forest on Hills	#197A53
73	Boreal	Moist	Cropland	Tablelands	Boreal Moist	117	111	218	Boreal Moist Cropland on Tablelands	#756FDA
74	Boreal	Dry	Grassland	Hills	Boreal Dry	50	111	99	Boreal Dry Grassland on Hills	#326F63
75	Boreal	Dry	Grassland	Plains	Boreal Dry	79	124	121	Boreal Dry Grassland on Plains	#4F7C79
76	Polar	Dry	Cropland	Hills	Polar Dry	214	215	152	Polar Dry Cropland on Hills	#D6D798
77	Boreal	Dry	Cropland	Plains	Boreal Dry	69	112	121	Boreal Dry Cropland on Plains	#457079
78	Boreal	Dry	Sparsely or Non vegetated	Tablelands	Boreal Dry	138	143	183	Boreal Dry Sparsely or Non vegetated on Tablelands	#8A8FB7
79	Polar	Dry	Cropland	Mountains	Polar Dry	182	155	99	Polar Dry Cropland on Mountains	#B69B63
80	Polar	Dry	Cropland	Tablelands	Polar Dry	150	154	218	Polar Dry Cropland on Tablelands	#969ADA
81	Boreal	Dry	Shrubland	Tablelands	Boreal Dry	77	81	186	Boreal Dry Shrubland on Tablelands	#4D51BA
82	Boreal	Dry	Forest	Tablelands	Boreal Dry	75	92	141	Boreal Dry Forest on Tablelands	#4B5C8D
83	Boreal	Dry	Grassland	Tablelands	Boreal Dry	67	80	138	Boreal Dry Grassland on Tablelands	#43508A
84	Boreal	Dry	Settlement	Plains	Boreal Dry	145	170	133	Boreal Dry Settlement on Plains	#91AA85
85	Boreal	Dry	Cropland	Hills	Boreal Dry	80	170	143	Boreal Dry Cropland on Hills	#50AA8F
86	Boreal	Moist	Settlement	Plains	Boreal Moist	120	149	105	Boreal Moist Settlement on Plains	#789569
87	Boreal	Moist	Settlement	Hills	Boreal Moist	47	127	108	Boreal Moist Settlement on Hills	#2F7F6C
88	Boreal	Dry	Sparsely or Non vegetated	Mountains	Boreal Dry	60	154	177	Boreal Dry Sparsely or Non vegetated on Mountains	#3C9AB1
89	Boreal	Dry	Grassland	Mountains	Boreal Dry	54	148	33	Boreal Dry Grassland on Mountains	#369421
90	Boreal	Dry	Forest	Mountains	Boreal Dry	35	119	109	Boreal Dry Forest on Mountains	#23776D
91	Boreal	Dry	Cropland	Tablelands	Boreal Dry	144	138	227	Boreal Dry Cropland on Tablelands	#908AE3
92	Boreal	Dry	Shrubland	Mountains	Boreal Dry	57	149	22	Boreal Dry Shrubland on Mountains	#399516
93	Boreal	Dry	Cropland	Mountains	Boreal Dry	84	130	86	Boreal Dry Cropland on Mountains	#548256
94	Boreal	Moist	Settlement	Tablelands	Boreal Moist	86	93	177	Boreal Moist Settlement on Tablelands	#565DB1
